Index ,Country/Region,CountryCode,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,01/02/2020,02/02/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,08/02/2020,09/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020
SHCOMP Index,China,CHN,"3,066","3,089","3,083","3,077","3,071","3,085","3,094","3,083","3,102","3,099","3,095","3,091","3,121","3,103","3,096","3,081","3,082","3,082","3,082","3,086","3,038","3,038","3,009","2,980","2,950","2,921","2,892","2,863","2,834","2,804","2,775","2,746","2,717","2,685","2,792","2,827","2,859","2,859","2,860","2,860","2,895","2,896","2,927","2,900","2,908","2,917","2,925","2,981","2,980","2,982","3,022","3,024","3,026","3,028","2,982","2,978","2,992","2,925","2,916","2,908","2,899","3,007","2,982","3,036","3,040","3,022","3,005","2,987","2,919","3,002","2,936","2,804","2,835","2,866","2,897","2,796","2,792","2,719","2,727","2,711","2,694","2,678","2,703","2,775","2,762","2,793","2,775","2,757","2,740","2,767","2,744","2,720","2,774","2,782","2,790","2,797","2,807","2,806","2,826","2,827","2,813","2,799","2,785","2,795","2,827"
ATX Index,Austria,AUT,"3,188","3,230","3,225","3,220","3,215","3,202","3,190","3,196","3,204","3,209","3,214","3,220","3,216","3,210","3,172","3,175","3,174","3,174","3,173","3,172","3,159","3,152","3,122","3,130","3,138","3,146","3,098","3,120","3,133","3,101","3,092","3,083","3,074","3,059","3,084","3,126","3,143","3,142","3,141","3,140","3,119","3,174","3,205","3,195","3,201","3,207","3,213","3,208","3,179","3,199","3,173","3,165","3,156","3,147","3,040","2,970","2,956","2,845","2,827","2,808","2,790","2,780","2,811","2,799","2,720","2,685","2,650","2,614","2,379","2,363","2,302","1,989","1,993","1,997","2,001","1,794","1,767","1,632","1,707","1,767","1,828","1,888","1,882","2,035","2,018","2,057","2,038","2,019","2,001","1,990","2,000","1,954","1,982","1,976","1,971","1,966","2,050","2,127","2,115","2,129","2,143","2,157","2,170","2,184","2,173"
BEL20 Index,Belgium,BEL,"3,983","4,002","3,988","3,974","3,961","3,982","3,966","4,019","4,025","4,025","4,026","4,026","3,985","3,986","3,978","3,997","4,002","4,006","4,010","3,997","4,024","4,007","4,000","3,982","3,964","3,946","3,919","3,957","3,932","3,939","3,929","3,920","3,910","3,955","4,044","4,114","4,125","4,111","4,097","4,084","4,122","4,150","4,173","4,185","4,186","4,188","4,189","4,173","4,159","4,143","4,095","4,058","4,020","3,982","3,927","3,790","3,733","3,535","3,544","3,553","3,563","3,611","3,578","3,642","3,478","3,402","3,325","3,249","3,218","3,211","3,020","2,796","2,738","2,680","2,623","2,635","2,517","2,631","2,761","2,733","2,704","2,676","2,795","2,981","2,853","2,932","2,906","2,880","2,854","2,864","2,837","2,878","2,881","2,909","2,937","2,965","3,036","3,029","3,106","3,111","3,116","3,121","3,126","3,131","3,045"
OMXC25 Index,Denmark,DNK,"1,254","1,252","1,247","1,242","1,237","1,240","1,240","1,241","1,247","1,247","1,247","1,248","1,251","1,255","1,274","1,273","1,277","1,281","1,286","1,287","1,287","1,294","1,290","1,292","1,293","1,295","1,271","1,277","1,292","1,278","1,277","1,277","1,276","1,280","1,299","1,331","1,343","1,342","1,340","1,339","1,334","1,352","1,347","1,348","1,351","1,353","1,356","1,352","1,365","1,377","1,372","1,365","1,357","1,349","1,309","1,285","1,282","1,217","1,226","1,235","1,243","1,255","1,264","1,288","1,242","1,211","1,180","1,149","1,164","1,151","1,051","1,051","1,035","1,019","1,002","1,038","1,015","1,009","1,056","1,033","1,011",989,"1,026","1,069","1,055","1,080","1,081","1,083","1,085","1,136","1,112","1,120","1,116","1,129","1,142","1,155","1,165","1,155","1,158","1,161","1,164","1,167","1,170","1,173","1,185"
HEX25 Index,Finland,FIN,"4,225","4,282","4,278","4,274","4,271","4,266","4,255","4,244","4,240","4,247","4,254","4,261","4,297","4,298","4,297","4,339","4,349","4,359","4,368","4,396","4,366","4,351","4,323","4,325","4,326","4,327","4,251","4,322","4,306","4,325","4,315","4,304","4,294","4,295","4,359","4,457","4,484","4,498","4,512","4,527","4,534","4,578","4,551","4,549","4,550","4,551","4,552","4,525","4,465","4,503","4,481","4,469","4,457","4,445","4,317","4,234","4,265","4,032","4,066","4,100","4,134","4,100","4,093","4,144","3,942","3,836","3,731","3,625","3,624","3,572","3,321","3,196","3,126","3,055","2,985","3,016","2,931","2,904","3,133","3,068","3,004","2,939","3,012","3,223","3,207","3,291","3,268","3,245","3,222","3,284","3,277","3,287","3,279","3,295","3,310","3,326","3,428","3,419","3,482","3,492","3,502","3,512","3,522","3,532","3,532"
CAC Index,France,FRA,"6,017","6,008","6,006","6,003","6,001","6,033","5,987","6,067","6,057","6,051","6,046","6,041","6,037","6,043","6,040","6,066","6,075","6,084","6,093","6,034","6,054","5,992","6,020","5,988","5,956","5,924","5,887","5,922","5,886","5,892","5,868","5,845","5,822","5,863","5,919","6,045","6,028","6,021","6,015","6,008","6,048","6,064","6,077","6,096","6,091","6,085","6,080","6,042","6,086","6,105","6,035","5,982","5,929","5,876","5,825","5,646","5,572","5,311","5,346","5,381","5,416","5,408","5,400","5,491","5,254","5,118","4,981","4,845","4,771","4,716","4,375","4,234","4,119","4,003","3,887","4,041","3,906","3,834","4,067","4,001","3,935","3,869","4,088","4,340","4,333","4,434","4,410","4,386","4,362","4,438","4,260","4,244","4,205","4,236","4,267","4,299","4,489","4,397","4,512","4,521","4,529","4,537","4,545","4,554","4,512"
FTSEMIB Index,Italy,ITA,"23,607","23,710","23,662","23,614","23,566","23,688","23,551","23,980","24,061","24,061","24,061","24,061","23,932","23,903","23,862","24,043","24,039","24,036","24,033","23,858","23,888","23,716","23,848","23,803","23,758","23,713","23,545","24,053","23,892","23,863","23,674","23,486","23,297","23,573","23,816","24,348","24,465","24,456","24,446","24,437","24,617","24,738","24,769","24,942","24,949","24,955","24,962","24,986","25,353","25,415","24,979","24,626","24,272","23,919","23,586","22,961","22,969","22,059","22,150","22,242","22,333","22,116","21,740","22,012","20,987","20,918","20,850","20,781","18,654","18,172","17,654","15,108","15,305","15,501","15,697","15,420","14,986","15,417","15,773","15,621","15,470","15,318","15,978","17,247","16,877","17,039","16,978","16,917","16,856","17,097","16,600","16,660","16,742","16,751","16,760","16,769","17,588","17,212","17,686","17,713","17,740","17,767","17,795","17,822","17,455"
DAX Index,Germany,DEU,"13,234","13,266","13,206","13,146","13,085","13,200","13,140","13,475","13,533","13,530","13,526","13,522","13,439","13,445","13,463","13,513","13,510","13,507","13,504","13,457","13,602","13,456","13,513","13,467","13,421","13,375","13,274","13,316","13,186","13,197","13,142","13,088","13,033","13,136","13,224","13,570","13,531","13,513","13,494","13,476","13,605","13,671","13,696","13,756","13,761","13,766","13,771","13,669","13,751","13,774","13,610","13,484","13,358","13,231","13,132","12,682","12,527","11,892","11,938","11,984","12,030","12,013","11,993","12,191","11,695","11,360","11,025","10,690","10,725","10,602","9,864","9,481","9,230","8,979","8,728","9,141","8,613","8,496","9,080","8,899","8,718","8,536","9,242","9,987","9,621","9,794","9,771","9,748","9,726","9,971","9,611","9,587","9,535","9,653","9,771","9,889","10,464","10,302","10,491","10,539","10,588","10,637","10,685","10,734","10,678"
ASE Index,Greece,GRC,918,926,924,922,920,917,916,920,927,926,925,924,920,924,930,932,933,934,935,938,943,940,942,943,944,945,937,935,928,921,916,910,905,911,918,924,921,918,915,911,907,919,920,919,920,921,923,917,914,918,912,903,894,885,816,829,806,766,755,744,735,721,763,776,721,709,697,685,594,627,602,540,543,547,550,486,491,488,526,535,544,553,514,533,552,570,563,556,550,560,554,539,541,542,544,546,590,606,611,611,610,610,610,610,626
ICEXI Index,Iceland,ISL,"1,516","1,542","1,537","1,532","1,526","1,519","1,534","1,532","1,535","1,542","1,549","1,555","1,552","1,555","1,559","1,569","1,574","1,579","1,585","1,557","1,551","1,538","1,507","1,514","1,522","1,529","1,506","1,507","1,501","1,489","1,491","1,493","1,495","1,489","1,499","1,522","1,522","1,526","1,530","1,534","1,522","1,518","1,523","1,505","1,506","1,507","1,509","1,507","1,520","1,541","1,542","1,547","1,552","1,557","1,503","1,473","1,464","1,423","1,411","1,400","1,389","1,349","1,393","1,391","1,373","1,354","1,335","1,316","1,272","1,292","1,324","1,223","1,236","1,248","1,261","1,204","1,206","1,193","1,228","1,234","1,241","1,247","1,182","1,195","1,228","1,278","1,280","1,282","1,283","1,276","1,290","1,271","1,269","1,268","1,267","1,266","1,296","1,328","1,329","1,330","1,330","1,331","1,331","1,332","1,337"
